WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C173,Scripting and Programming - Foundations,Computer Science 112 (SDCM-0198),Study,No
C173,Scripting and Programming - Foundations,Computer Science 115 (SDCM-0199),Study,No
C173,Scripting and Programming - Foundations,CS101 (OOSL-0069),Straighterline,No
C173,Scripting and Programming - Foundations,CS107 (SAYA-0017),Saylor,No
C173,Scripting and Programming - Foundations,IT Career Framework,edX,No
C175,Data Management - Foundations,CodeBridge,Per Scholas,No
C175,Data Management - Foundations,Computer Science 103 (SDCM-0240),Study,No
C175,Data Management - Foundations,Computer Science 107 (SDCM-0212),Study,No
C175,Data Management - Foundations,CS1011 (SOPH-0047),Sophia,No
C175,Data Management - Foundations,Cyber Opts,Per Scholas,No
C175,Data Management - Foundations,CyberSecurity,Per Scholas,No
C175,Data Management - Foundations,IT104 (OOSL-0106),Straighterline,No
C175,Data Management - Foundations,NOC Analyst,Per Scholas,No
C175,Data Management - Foundations,Software Engineering,Per Scholas,No
C175,Data Management - Foundations,Analytics 103 (SDCM-0240),Study,No
C175,Data Management - Foundations,Computer Science 303 (SDCM-0164),Study,No
C176,Business of IT - Project Management,BUS402 (SAYA-0039),Saylor,No
C176,Business of IT - Project Management,Business 311 (SDCM-0073),Study,No
C176,Business of IT - Project Management,EVM 263 (DAU-0299) & ACQ 160 (DAU-0298),DAU,No
C176,Business of IT - Project Management,PM1001 (SOPH-0013),Sophia,No
C176,Business of IT - Project Management,PMP,PMI,No
C176,Business of IT - Project Management,PMT 257 (DAU-0301),DAU,No
C176,Business of IT - Project Management,Project+,Comptia,No
C178,Network and Security - Applications,Security+,Comptia,No
C180,Introduction to Psychology,DLSI-0010 Introduction to Psychology,DLSI,No
C180,Introduction to Psychology,PSY101,Argosy,No
C180,Introduction to Psychology,PSY101 (OOSL-0027),Straighterline,No
C180,Introduction to Psychology,PSYC1010 (SOPH-0048),Sophia,No
C180,Introduction to Psychology,PSYC1310,Concorde,No
C180,Introduction to Psychology,PSYCH101 (SAYA-0007),Saylor,No
